iter	Passed	Remaining
400	50578	75552
401	50833	75618
402	51081	75672
403	51309	75693
404	51512	75678
405	51823	75820
406	52083	75886
407	52297	75882
408	52554	75940
409	52783	75956
410	53053	76030
411	53248	75995
412	53497	76035
413	53691	75998
414	53935	76029
415	54140	76004
416	54394	76047
417	54548	75950
418	54703	75854
419	54912	75831
420	55172	75879
421	55401	75881
422	55619	75868
423	55740	75723
424	55943	75688
425	56159	75670
426	56412	75701
427	56680	75751
428	56799	75600
429	57075	75658
430	57345	75706
431	57563	75685
432	57810	75701
433	58046	75701
434	58325	75756
435	58585	75784
436	58807	75763
437	59083	75810
438	59382	75884
439	59632	75895
440	59841	75853
441	60081	75849
442	60304	75823
443	60509	75772
444	60730	75743
445	61004	75776
446	61247	75771
447	61453	75719
448	61611	75607
449	61845	75588
450	62057	75542
451	62288	75517
452	62451	75410
453	62708	75416
454	62886	75325
455	63095	75271
456	63300	75212
457	63575	75235
458	63841	75247
459	64035	75172
460	64170	75028
461	64454	75057
462	64730	75076
463	64956	75036
464	65149	74957
465	65391	74933
466	65572	74840
467	65786	74782
468	65955	74674
469	66094	74532
470	66329	74497
471	66564	74462
472	66838	74469
473	67042	74396
474	67249	74328
475	67468	74271
476	67674	74201
477	67947	74202
478	68146	74122
479	68296	73988
480	68518	73931
481	68784	73922
482	69025	73884
483	69174	73748
484	69384	73676
485	69589	73598
486	69836	73565
487	70057	73503
488	70323	73487
489	70537	73416
490	70767	73362
491	70908	73214
492	71077	73095
493	71199	72929
494	71406	72849
495	71634	72790
496	71872	72739
497	72085	72664
498	72308	72598
499	72513	72513
500	72795	72504
501	73067	72485
502	73336	72462
503	73620	72451
504	73851	72389
505	74098	72341
506	74364	72310
507	74624	72274
508	74864	72217
509	75091	72146
510	75246	72007
511	75463	71925
512	75594	71763
513	75824	71694
514	76002	71575
515	76162	71439
516	76431	71404
517	76661	71333
518	76805	71182
519	77075	71146
520	77284	71054
521	77511	70978
522	77741	70904
523	78013	70867
524	78266	70812
525	78513	70751
526	78750	70681
527	78959	70584
528	79237	70550
529	79485	70487
530	79750	70438
531	80017	70390
532	80241	70305
533	80449	70204
534	80714	70153
535	80977	70099
536	81229	70036
537	81457	69950
538	81742	69913
539	81994	69847
540	82242	69777
541	82371	69605
542	82501	69435
543	82783	69391
544	82998	69292
545	83225	69202
546	83443	69103
547	83704	69040
548	84002	69007
549	84128	68832
550	84343	68730
551	84561	68629
552	84785	68533
553	85054	68473
554	85263	68364
555	85464	68248
556	85697	68157
557	85899	68042
558	86159	67972
559	86368	67861
560	86534	67715
561	86728	67592
562	87043	67563
563	87274	67467
564	87561	67414
565	87769	67300
566	88053	67243
567	88194	67077
568	88385	66949
569	88514	66774
570	88703	66644
571	88970	66572
572	89224	66490
573	89470	66401
574	89715	66311
575	89995	66246
576	90200	66125
577	90491	66068
578	90700	65949
579	90912	65833
580	91074	65680
581	91234	65525
582	91528	65467
583	91740	65349
584	91990	65258
585	92225	65155
586	92445	65042
587	92579	64868
588	92810	64762
589	93046	64659
590	93308	64573
591	93565	64484
592	93832	64401
593	94090	64311
594	94302	64189
595	94588	64117
596	94821	64008
597	95040	63890
598	95258	63770
599	95499	63666
600	95754	63570
601	95886	63393
602	96011	63211
603	96226	63088
604	96358	62911
605	96605	62809
606	96741	62634
607	97021	62553
608	97240	62432
609	97420	62285
610	97663	62178
611	97912	62075
612	98198	61994
613	98413	61869
614	98662	61764
615	98866	61630
616	99136	61538
617	99318	61391
618	99524	61258
619	99837	61191
620	100131	61110
621	100260	60930
622	100557	60851
623	100795	60735
624	101021	60612
625	101291	60515
626	101517	60392
627	101788	60295
628	101915	60112
629	102080	59951
630	102311	59830
631	102485	59674
632	102723	59556
633	102932	59421
634	103188	59312
635	103318	59131
636	103573	59021
637	103777	58883
638	103994	58751
639	104131	58574
640	104354	58445
641	104580	58317
642	104840	58208
643	105139	58120
644	105301	57956
645	105517	57822
646	105730	57686
647	105928	57541
648	106164	57416
649	106352	57266
650	106579	57137
651	106856	57033
652	107035	56878
653	107276	56754
654	107529	56637
655	107827	56543
656	107954	56359
657	108164	56219
658	108330	56055
659	108597	55944
660	108737	55767
661	109015	55660
662	109227	55519
663	109483	55401
664	109624	55224
665	109861	55095
666	110056	54945
667	110365	54852
668	110634	54738
669	110872	54608
670	111150	54498
671	111283	54317
672	111505	54178
673	111734	54043
674	112006	53929
675	112161	53757
676	112292	53575
677	112566	53460
678	112782	53318
679	113036	53193
680	113322	53083
681	113550	52945
682	113775	52806
683	114007	52670
684	114152	52493
685	114397	52362
686	114514	52173
687	114768	52046
688	114914	51870
689	115145	51732
690	115350	51582
691	115487	51401
692	115630	51224
693	115874	51091
694	116128	50962
695	116310	50802
696	116589	50684
697	116880	50569
698	117130	50438
699	117291	50267
700	117460	50100
701	117766	49992
702	117916	49816
703	118180	49689
704	118367	49529
705	118594	49386
706	118852	49255
707	119118	49127
708	119367	48993
