iter	MultiLogloss
0	0.6891750862
1	0.6851557682
2	0.6811961953
3	0.6772954698
4	0.6734561674
5	0.6696677361
6	0.6659379116
7	0.6622465494
8	0.6586029941
9	0.6550388063
10	0.6515332451
11	0.6480759127
12	0.6446640965
13	0.6412815524
14	0.6379694295
15	0.6347114634
16	0.6314281536
17	0.628232078
18	0.625080021
19	0.6220007653
20	0.6189628209
21	0.6159658593
22	0.61301865
23	0.6101103177
24	0.6072482618
25	0.6044279341
26	0.6015833936
27	0.5988232427
28	0.5961436
29	0.5934851291
30	0.5908709574
31	0.5883094026
32	0.5857331394
33	0.5832215763
34	0.5807418155
35	0.5782785148
36	0.5758693263
37	0.5735204975
38	0.5711676455
39	0.5688392048
40	0.566562185
41	0.5643174697
42	0.5621045374
43	0.5599125459
44	0.557767431
45	0.5556382103
46	0.553537558
47	0.5514743065
48	0.5490713243
49	0.5470731227
50	0.5450939945
51	0.5431423668
52	0.5412238286
53	0.5390325216
54	0.5371593038
55	0.5352829695
56	0.5334601137
57	0.5316251266
58	0.5298436746
59	0.5280940779
60	0.5263687516
61	0.5246658408
62	0.5229735877
63	0.5213221778
64	0.5193918222
65	0.5177841466
66	0.5161858424
67	0.5144917297
68	0.5126166312
69	0.5110855086
70	0.5095276237
71	0.5080088054
72	0.5065257107
73	0.5050740453
74	0.5036390896
75	0.5022289599
76	0.5008366341
77	0.4991246549
78	0.4977537511
79	0.4964091726
80	0.4950648599
81	0.4937546439
82	0.492174961
83	0.490562227
84	0.4893006079
85	0.4880474256
86	0.4868110343
87	0.485585765
88	0.4843865267
89	0.4828711669
90	0.481701963
91	0.4805179216
92	0.4792764872
93	0.4781505663
94	0.4767272944
95	0.4753820925
96	0.4741480874
97	0.472779613
98	0.4717234921
99	0.4703600922
100	0.4693259789
101	0.4682872809
102	0.4672780001
103	0.4659722177
104	0.4646733565
105	0.4637001307
106	0.4627387209
107	0.461727236
108	0.460788111
109	0.4595458144
110	0.4585989686
111	0.4576767148
112	0.4567792394
113	0.4556309245
114	0.4547550977
115	0.4536039883
116	0.4527478893
